GO,REFLIST,Upload,Upload_Expected,Over/Under,Fold Enrichment,P-value,FDR,Group
biosynthetic process (GO:0009058),3957,62,19.42,+,3.19,1.26e-20,1.11e-17,biological process
cellular component biogenesis (GO:0044085),2759,39,13.54,+,2.88,2.07e-10,1.2e-07,biological process
protein-containing complex assembly (GO:0065003),1289,17,6.33,+,2.69,0.000169,0.046,biological process
macromolecule metabolic process (GO:0043170),5395,70,26.48,+,2.64,1.43e-19,1.2e-16,biological process
primary metabolic process (GO:0044238),6772,70,33.23,+,2.11,1.31e-13,8.56e-11,biological process
metabolic process (GO:0008152),7632,72,37.46,+,1.92,4.88e-12,3.05e-09,biological process
cellular component organization or biogenesis (GO:0071840),6231,50,30.58,+,1.64,4.98e-05,0.0174,biological process
response to stimulus (GO:0050896),8201,18,40.25,-,0.45,3.04e-06,0.00131,biological process
cellular response to stimulus (GO:0051716),6395,12,31.38,-,0.38,1.14e-05,0.00476,biological process
signal transduction (GO:0007165),4858,4,23.84,-,0.17,1.03e-07,4.7e-05,biological process
signaling (GO:0023052),5188,4,25.46,-,0.16,2.29e-08,1.19e-05,biological process
cell communication (GO:0007154),5232,4,25.68,-,0.16,1.33e-08,7.13e-06,biological process
pre-mRNA binding (GO:0036002),39,4,0.19,+,20.9,3.94e-05,0.0288,molecular function
mRNA 3'-UTR binding (GO:0003730),111,8,0.54,+,14.69,7.4e-08,7.57e-05,molecular function
mRNA binding (GO:0003729),345,15,1.69,+,8.86,1.39e-10,1.77e-07,molecular function
RNA binding (GO:0003723),1675,71,8.22,+,8.64,4.21e-54,2.15e-50,molecular function
nucleic acid binding (GO:0003676),3992,77,19.59,+,3.93,5.500000000000001e-35,1.41e-31,molecular function
organic cyclic compound binding (GO:0097159),6018,78,29.53,+,2.64,2.1699999999999998e-23,3.71e-20,molecular function
binding (GO:0005488),16739,97,82.15,+,1.18,1.74e-05,0.0148,molecular function
UTP-C complex (GO:0034456),3,2,0.01,+, > 100,7.13e-05,0.00407,cellular component
CURI complex (GO:0032545),3,2,0.01,+, > 100,7.13e-05,0.00395,cellular component
TRAMP complex (GO:0031499),5,2,0.02,+,81.50,0.000236,0.0124,cellular component
granular component (GO:0001652),7,2,0.03,+,58.22,0.000493,0.0234,cellular component
90S preribosome (GO:0030686),26,6,0.13,+,47.02,2.56e-09,2.43e-07,cellular component
small-subunit processome (GO:0032040),73,10,0.36,+,27.91,2.47e-12,2.6e-10,cellular component
preribosome (GO:0030684),105,14,0.52,+,27.17,1.18e-16,2.13e-14,cellular component
catalytic step 2 spliceosome (GO:0071013),90,11,0.44,+,24.90,6.87e-13,8.06e-11,cellular component
U2-type precatalytic spliceosome (GO:0071005),50,5,0.25,+,20.38,4.58e-06,0.000295,cellular component
spliceosomal complex (GO:0005681),207,20,1.02,+,19.69,1.45e-20,3.22e-18,cellular component
precatalytic spliceosome (GO:0071011),52,5,0.26,+,19.59,5.58e-06,0.000348,cellular component
U2-type spliceosomal complex (GO:0005684),95,8,0.47,+,17.16,2.17e-08,1.81e-06,cellular component
small nuclear ribonucleoprotein complex (GO:0030532),76,6,0.37,+,16.09,1.99e-06,0.000142,cellular component
Sm-like protein family complex (GO:0120114),87,6,0.43,+,14.05,4.4e-06,0.000293,cellular component
spliceosomal snRNP complex (GO:0097525),67,4,0.33,+,12.16,0.00033,0.0169,cellular component
ribonucleoprotein complex (GO:1990904),691,38,3.39,+,11.21,4.48e-30,4.47e-27,cellular component
nucleolus (GO:0005730),1013,39,4.97,+,7.84,3.8e-25,9.479999999999999e-23,cellular component
nuclear speck (GO:0016607),414,11,2.03,+,5.41,6e-06,0.000363,cellular component
nuclear protein-containing complex (GO:0140513),1285,34,6.31,+,5.39,1.08e-16,2.16e-14,cellular component
nuclear body (GO:0016604),838,16,4.11,+,3.89,3.1e-06,0.000213,cellular component
nuclear lumen (GO:0031981),4504,81,22.1,+,3.66,1.12e-35,2.2400000000000002e-32,cellular component
nucleoplasm (GO:0005654),4138,72,20.31,+,3.55,1.33e-28,3.81e-26,cellular component
organelle lumen (GO:0043233),5659,82,27.77,+,2.95,2.92e-29,1.4600000000000002e-26,cellular component
intracellular organelle lumen (GO:0070013),5659,82,27.77,+,2.95,2.92e-29,1.17e-26,cellular component
membrane-enclosed lumen (GO:0031974),5659,82,27.77,+,2.95,2.92e-29,9.710000000000001e-27,cellular component
chromosome (GO:0005694),1984,28,9.74,+,2.88,1.88e-07,1.39e-05,cellular component
nucleus (GO:0005634),7626,92,37.43,+,2.46,5.4399999999999995e-30,3.6200000000000004e-27,cellular component
catalytic complex (GO:1902494),1792,21,8.79,+,2.39,0.000139,0.00751,cellular component
intracellular membraneless organelle (GO:0043232),5379,61,26.4,+,2.31,4.39e-13,6.26e-11,cellular component
membraneless organelle (GO:0043228),5380,61,26.4,+,2.31,4.42e-13,5.88e-11,cellular component
protein-containing complex (GO:0032991),5918,56,29.04,+,1.93,2.52e-08,2.01e-06,cellular component
intracellular membrane-bounded organelle (GO:0043231),12262,94,60.18,+,1.56,3.13e-14,5.2e-12,cellular component
intracellular organelle (GO:0043229),13411,97,65.82,+,1.47,7.04e-14,1.08e-11,cellular component
membrane-bounded organelle (GO:0043227),13333,96,65.43,+,1.47,4.93e-13,6.15e-11,cellular component
organelle (GO:0043226),14211,98,69.74,+,1.41,1.09e-12,1.2e-10,cellular component
intracellular anatomical structure (GO:0005622),15056,99,73.89,+,1.34,1.87e-11,1.86e-09,cellular component
endomembrane system (GO:0012505),4827,10,23.69,-,.42,0.000848,0.0394,cellular component
membrane (GO:0016020),9775,20,47.97,-,.42,9.45e-09,8.2e-07,cellular component
plasma membrane (GO:0005886),6002,7,29.46,-,.24,5.9e-08,4.53e-06,cellular component
cell periphery (GO:0071944),6489,7,31.85,-,.22,4.06e-09,3.68e-07,cellular component
organelle membrane (GO:0031090),3828,4,18.79,-,.21,2.68e-05,0.00157,cellular component
cytoplasmic vesicle (GO:0031410),2548,2,12.5,-,.16,0.000368,0.0183,cellular component
intracellular vesicle (GO:0097708),2556,2,12.54,-,.16,0.00037,0.018,cellular component
